REGDIST,Industrial_Ratio_1831,is_treated_baseline,MANUFAC,FAMTRADE
1001,0.0,0,0,1049
1003,0.0007654769878480528,1,16,1780
1005,0.0006847974955977304,1,7,1544
1007,0.016536832034987018,1,121,496
2001,0.0012356739056562972,1,40,3985
3001,0.008847429091721211,1,515,4211
4001,0.0016778523489932886,1,38,2789
4002,0.0,0,0,0
4002,0.00023674242424242425,1,6,2428
5001,4.213719871902916e-05,1,1,3371
5001,0.0,0,0,6
6001,0.0,0,0,5575
7000,0.0,0,0,12826
8001,0.0,0,0,588
9000,0.0008981341986325183,1,93,13720
10001,0.004662879193911459,1,174,4874
11001,0.0008620689655172414,1,3,393
11002,0.0036074338905530325,1,112,2505
12001,0.002245827010622155,1,37,1797
12002,0.005791611769872639,1,211,5670
13001,0.0005128205128205128,1,8,2903
13002,0.0,0,0,1442
13002,0.0024390243902439024,1,1,27
13002,0.0004873294346978557,1,1,455
13002,0.00999423409571401,1,52,912
13002,0.0,0,0,40
13003,0.0,0,0,276
13003,0.0,0,0,0
13003,0.0,0,0,432
14000,0.0009877807858344918,1,27,3655
14000,0.0,0,0,2
14000,0.000944485255535733,1,9,1816
14001,0.0,0,0,0
14001,0.0,0,0,0
14001,0.0,0,0,0
14002,0.0,0,0,7
14003,0.0,0,0,0
14003,0.001887188089746278,1,9,726
15001,0.0009237099550741067,1,44,7382
16001,0.009326358217915184,1,435,7447
17001,0.0,0,0,1620
17001,0.003607644305772231,1,37,1289
17002,0.0,0,0,589
17002,0.0,0,0,2458
17002,0.0,0,0,168
18000,0.0,0,0,0
18000,0.0,0,0,38
18001,0.0020526855969893944,1,6,549
18001,0.0036316472114137485,1,28,1520
18002,0.0010771992818671453,1,6,870
18002,0.013848396501457727,1,95,1410
18002,0.0,0,0,15
18002,0.0,0,0,533
18002,0.0,0,0,0
18002,0.0,0,0,1
19001,0.003968253968253968,1,3,120
19001,0.004958047292143402,1,13,264
19001,0.0,0,0,54
19001,0.0,0,0,45
19001,0.0,0,0,157
19001,0.02512562814070352,1,5,27
19001,0.0,0,0,179
19001,0.0,0,0,23
19001,0.0,0,0,16
19001,0.004608294930875576,1,6,149
19002,0.0,0,0,107
19002,0.0,0,0,27
19002,0.0,0,0,134
19002,0.0,0,0,91
19002,0.0,0,0,342
19002,0.0,0,0,144
19002,0.0,0,0,35
19002,0.0,0,0,98
19002,0.0,0,0,37
19002,0.0,0,0,153
19002,0.0,0,0,11
19002,0.0063371356147021544,1,5,82
19002,0.0036496350364963502,1,1,33
19002,0.003472222222222222,1,1,44
19002,0.0,0,0,66
19002,0.01664145234493192,1,11,87
19002,0.008064516129032258,1,2,45
19002,0.0,0,0,82
19002,0.0,0,0,15
19002,0.0,0,0,151
19002,0.0,0,0,41
