REGDIST,Year,Area_Change_Pct,Centroid_Shift_M,Unstable
BRESSAY/LERWICK,1861,0.0,0.0,False
DELTING,1861,0.0,0.0,False
DUNROSSNESS,1861,0.0,0.0,False
FETLAR/MID AND SOUTH YELL,1861,0.0,0.0,False
NESTING,1861,0.0,0.0,False
NORTHMAVINE,1861,0.0,0.0,False
SANDSTING AND AITHSTING,1861,0.0,0.0,False
TINGWALL,1861,0.0,0.0,False
UNST,1861,0.0,0.0,False
WALLS,1861,0.0,0.0,False
BIRSAY/HARRAY,1861,0.0,0.0,False
DEERNESS/HOLM AND PAPLAY/ST. ANDREWS,1861,0.0,0.0,False
EDAY AND PHARAY/STRONSAY,1861,0.0,0.0,False
EVIE AND RENDALL/ROUSAY AND EGILSHAY/SHAPINSHAY,1861,0.0,0.0,False
HOY AND GRAEMSAY/WALLS,1861,0.0,0.0,False
KIRKWALL AND ST. OLA,1861,0.0,0.0,False
FIRTH AND STENNES/ORPHIR,1861,0.0,0.0,False
NORTH-RONALDSHAY/SANDAY,1861,0.0,0.0,False
SANDWICK,1861,0.0,0.0,False
SOUTH RONALDSHAY AND BURRAY,1861,0.0,0.0,False
STROMNESS,1861,0.0,0.0,False
WESTRAY,1861,0.0,0.0,False
BOWER,1861,0.0,0.0,False
CANISBAY/KEISS/WICK,1861,0.0,0.0,False
DUNNET,1861,0.0,0.0,False
HALKIRK,1861,0.0,0.0,False
LATHERON,1861,0.0,0.0,False
OLRIG,1861,0.0,0.0,False
REAY/FARR,1861,0.0,0.0,False
THURSO,1861,0.0,0.0,False
WATTEN,1861,0.0,0.0,False
ASSYNT,1861,0.0,0.0,False
CLYNE,1861,0.0,0.0,False
CREICH,1861,0.0,0.0,False
DORNOCH,1861,0.0,0.0,False
EDDRACHILLIS/DURNESS,1861,0.0,0.0,False
KILMUIR-EASTER/LOGIE-EASTER/EDDERTON,1861,0.0,0.0,False
GOLSPIE,1861,0.0,0.0,False
KILDONAN/LOTH,1861,0.0,0.0,False
LAIRG/ROGART,1861,0.0,0.0,False
TONGUE,1861,0.0,0.0,False
ALNESS/KILTEARN,1861,0.0,0.0,False
LOCHCARRON/APPLECROSS,1861,0.0,0.0,False
AVOCH,1861,0.0,0.0,False
CROMARTY,1861,0.0,0.0,False
DINGWALL,1861,0.0,0.0,False
FEARN/NIGG,1861,0.0,0.0,False
GAIRLOCH NORTHERN,1861,0.0,0.0,False
GAIRLOCH SOUTHERN,1861,0.0,0.0,False
GLENSHIEL/KINTAIL,1861,0.0,0.0,False
KILLEARNAN/KNOCKBAIN,1861,0.0,0.0,False
KINCARDINE,1861,0.0,0.0,False
CARNOCH/CONTIN/FODDERTY/KINLOCHLUICHART,1861,0.0,0.0,False
LOCHALSH,1861,0.0,0.0,False
LOCHBROOM,1861,0.0,0.0,False
LOCHS,1861,0.0,0.0,False
RESOLIS,1861,0.0,0.0,False
ROSEMARKIE,1861,0.0,0.0,False
ROSSKEEN,1861,0.0,0.0,False
TAIN,1861,0.0,0.0,False
TARBAT,1861,0.0,0.0,False
URQUHART AND LOGIE-WESTER,1861,0.0,0.0,False
URRAY,1861,0.0,0.0,False
BARVAS,1861,0.0,0.0,False
CARLOWAY,1861,0.0,0.0,False
STORNOWAY,1861,0.0,0.0,False
UIG,1861,0.0,0.0,False
ALVIE/KINGUSSIE AND INSH/LAGGAN,1861,0.0,0.0,False
ARDERSIER,1861,0.0,0.0,False
FORT AUGUSTUS/ABERTARFF/BOLESKINE/DORES,1861,0.0,0.0,False
CROMDALE AND INVERALLAN,1861,0.0,0.0,False
CROY AND DALCROSS/DAVIOT AND DUNLICHTY/MOY AND DALAROSSIE,1861,0.0,0.0,False
DUTHIL/ROTHIEMURCHUS,1861,0.0,0.0,False
GLENELG,1861,0.0,0.0,False
INVERNESS,1861,0.0,0.0,False
KILMONIVAIG,1861,0.0,0.0,False
CANNICH/KILMORACK/KILTARLITY,1861,0.0,0.0,False
KIRKHILL,1861,0.0,0.0,False
PETTY,1861,0.0,0.0,False
URQUHART,1861,0.0,0.0,False
BARRA,1861,0.0,0.0,False
BRACADALE,1861,0.0,0.0,False
DUIRINISH,1861,0.0,0.0,False
HARRIS,1861,0.0,0.0,False
KILMUIR,1861,0.0,0.0,False
NORTH UIST,1861,0.0,0.0,False
PORTREE,1861,0.0,0.0,False
SLEAT,1861,0.0,0.0,False
ARDNARMUCHAN/BALLACHULISH AND CORRAN OF ARDGOUR/AHARACLE/ARISAIG/BALLACHULISH AND ONICH/SMALL ISLES,1861,0.0,0.0,False
SNIZORT,1861,0.0,0.0,False
BENBECULA,1861,0.0,0.0,False
STRATH,1861,0.0,0.0,False
ARDCLACH/CAWDOR,1861,0.0,0.0,False
AULDEARN,1861,0.0,0.0,False
BOHARM/BOTRIPHNIE,1861,0.0,0.0,False
NAIRN,1861,0.0,0.0,False
ABERNETHY AND KINCARDINE,1861,0.0,0.0,False
ALVES/KINLOSS,1861,0.0,0.0,False
BELLIE/CULLEN/DESKFORD/ENZIE/RATHVEN/SEAFIELD,1861,0.0,0.0,False
HOWMORE,1861,0.0,0.0,False
BOISDALE,1861,0.0,0.0,False
DALLAS/EDINKILLIE/RAFFORD,1861,0.0,0.0,False
DRAINIE,1861,0.0,0.0,False
DUFFUS,1861,0.0,0.0,False
DYKE,1861,0.0,0.0,False
ELGIN/NEW SPYNIE/ST. ANDREWS-LHANBRYDE,1861,0.0,0.0,False
FORRES,1861,0.0,0.0,False
KNOCKANDO,1861,0.0,0.0,False
BIRNIE/ROTHES,1861,0.0,0.0,False
FORDYCE,1861,0.0,0.0,False
SPEYMOUTH/URQUHART,1861,0.0,0.0,False
MORTLACH/ABERLOUR/GLENRINNES,1861,0.0,0.0,False
KING-EDWARD,1861,0.0,0.0,False
BANFF/GAMRIE,1861,0.0,0.0,False
ALVAH,1861,0.0,0.0,False
BOYNDIE/ORDIQUHILL,1861,0.0,0.0,False
GRANGE,1861,0.0,0.0,False
KEITH,1861,0.0,0.0,False
INVERAVON/KIRKMICHAEL,1861,0.0,0.0,False
FORGLEN/MARNOCH,1861,0.0,0.0,False
ROTHIEMAY,1861,0.0,0.0,False
ST. FERGUS,1861,0.0,0.0,False
ABERDEEN ST. NICHOLAS EAST,1861,0.0,0.0,False
ABERDEEN ST. NICHOLAS WEST,1861,0.0,0.0,False
ABERDEEN OLD MACHAR NORTH,1861,0.0,0.0,False
ABERDEEN OLD MACHAR SOUTH,1861,0.0,0.0,False
ARDALLIE/NEW PITSLIGO/TYRIE/ABERDOUR,1861,0.0,0.0,False
ABOYNE AND GLENTANAR,1861,0.0,0.0,False
ALFORD,1861,0.0,0.0,False
AUCHINDOIR/KILDRUMMY,1861,0.0,0.0,False
AUCHTERLESS/FORGUE/YTHAN WELLS/INVERKEITHNY,1861,0.0,0.0,False
BELHELVIE,1861,0.0,0.0,False
BIRSE/STRACHAN,1861,0.0,0.0,False
BOURTIE/KEITH-HALL,1861,0.0,0.0,False
CABRACH/GLENBUCKET,1861,0.0,0.0,False
CAIRNEY,1861,0.0,0.0,False
CHAPEL OF GARIOCH,1861,0.0,0.0,False
INVERURIE,1861,0.0,0.0,False
CLUNY/MONYMUSK,1861,0.0,0.0,False
COULL/LUMPHANAN,1861,0.0,0.0,False
CRIMOND/KININMONTH/LONMAY/STRICHEN,1861,0.0,0.0,False
CRATHIE AND BRAEMAR,1861,0.0,0.0,False
CULSAMOND/OYNE,1861,0.0,0.0,False
DAVIOT/RAYNE,1861,0.0,0.0,False
DRUMBLADE/HUNTLY,1861,0.0,0.0,False
DYCE/FINTRAY/KINELLAR,1861,0.0,0.0,False
DRUMOAK/ECHT,1861,0.0,0.0,False
ELLON,1861,0.0,0.0,False
FOVERAN/LOGIE-BUCHAN/SLAINS,1861,0.0,0.0,False
FRASERBURGH,1861,0.0,0.0,False
FYVIE/MILLBREX/MONQUHITTER,1861,0.0,0.0,False
GARTLY/GLASS,1861,0.0,0.0,False
GLENMUICK/LOGIE-COLDSTONE AND CROMAR,1861,0.0,0.0,False
INSCH,1861,0.0,0.0,False
KEIG/PREMNAY/TOUGH,1861,0.0,0.0,False
KEMNAY/KINTORE,1861,0.0,0.0,False
KINCARDINE O'NEIL,1861,0.0,0.0,False
CLATT/KINNETHMONT/LESLIE/TULLYNESSLE AND FORBES,1861,0.0,0.0,False
LEOCHEL-CUSHNIE,1861,0.0,0.0,False
LONGSIDE,1861,0.0,0.0,False
METHLIC,1861,0.0,0.0,False
MIDMAR,1861,0.0,0.0,False
NEW DEER,1861,0.0,0.0,False
NEWHILLS,1861,0.0,0.0,False
NEW MACHAR,1861,0.0,0.0,False
CRUDEN/OLD DEER/SAVOCH,1861,0.0,0.0,False
OLD MELDRUM,1861,0.0,0.0,False
PETERCULTER/BANCHORY-DEVENICK/MARYCULTER,1861,0.0,0.0,False
PETERHEAD,1861,0.0,0.0,False
PITSLIGO,1861,0.0,0.0,False
RATHEN,1861,0.0,0.0,False
RHYNIE,1861,0.0,0.0,False
SKENE,1861,0.0,0.0,False
STRATHDON/TARLAND/TOWIE,1861,0.0,0.0,False
TARVES,1861,0.0,0.0,False
TURRIFF,1861,0.0,0.0,False
UDNY,1861,0.0,0.0,False
ARBUTHNOT/GARVOCK/KINNEFF AND CATTERLINE,1861,0.0,0.0,False
BANCHORY-TERNAN,1861,0.0,0.0,False
BENHOLM,1861,0.0,0.0,False
BERVIE,1861,0.0,0.0,False
DUNNOTTAR,1861,0.0,0.0,False
DURRIS/GLENBERVIE,1861,0.0,0.0,False
EDZELL/FETTERCAIRN/LETHNOTT AND NAVAR/LOCHLEE,1861,0.0,0.0,False
FETTERESSO,1861,0.0,0.0,False
FORDOUN,1861,0.0,0.0,False
COOKNEY,1861,0.0,0.0,False
LAURENCEKIRK,1861,0.0,0.0,False
MARYKIRK,1861,0.0,0.0,False
NIGG,1861,0.0,0.0,False
ST. CYRUS,1861,0.0,0.0,False
ABERLEMNO/CARESTON/OATHLAW/RESCOBIE,1861,0.0,0.0,False
AIRLIE/KINGOLDRUM/RUTHVEN,1861,0.0,0.0,False
ARBIRLOT,1861,0.0,0.0,False
ARBROATH,1861,0.0,0.0,False
BARRY,1861,0.0,0.0,False
BRECHIN,1861,0.0,0.0,False
CARMYLLIE,1861,0.0,0.0,False
CORTACHY AND CLOVA/KIRRIEMUIR,1861,0.0,0.0,False
MONTROSE,1861,0.0,0.0,False
DUNDEE ST. PETERS,1861,0.0,0.0,False
DUNDEE ST. MARYS,1861,0.0,0.0,False
DUNDEE ST. CLEMENTS,1861,0.0,0.0,False
DUNDEE ST. ANDREWS NORTH,1861,0.0,0.0,False
DUNDEE ST. ANDREWS EAST,1861,0.0,0.0,False
DUNDEE LOCHEE,1861,0.0,0.0,False
AUCHTERHOUSE/EASSIE AND NEVAY/FOWLIS-EASTER/LUNDIE/NEWTYLE,1861,0.0,0.0,False
FERN/MENMUIR/TANNADICE,1861,0.0,0.0,False
FORFAR,1861,0.0,0.0,False
GLAMIS,1861,0.0,0.0,False
GLENISLA/KILRY/LINTRATHEN,1861,0.0,0.0,False
DUNNICHEN/GUTHRIE/INVERARITY/KINNELL/KINNETTLES/KIRKDEN,1861,0.0,0.0,False
INVERKEILOR,1861,0.0,0.0,False
COUPAR-ANGUS/KETTINS/MEIGLE,1861,0.0,0.0,False
"LIFF, BENVIE AND INVERGOWRIE",1861,0.0,0.0,False
DUN/LOGIE-PERT/STRACATHRO,1861,0.0,0.0,False
MAINS,1861,0.0,0.0,False
CRAIG/FARNELL/LUNAN/MARYTOWN,1861,0.0,0.0,False
MONIFIETH,1861,0.0,0.0,False
MONIKIE,1861,0.0,0.0,False
MURROES/TEALING,1861,0.0,0.0,False
PANBRIDE,1861,0.0,0.0,False
ST. VIGEANS,1861,0.0,0.0,False
ABERDALGIE/TIBBERMORE,1861,0.0,0.0,False
ABERFELDY/BLAIR-ATHOL/DULL/TENANDRY/FORTINGALL/FOSS/KINLOCH-RANNOCH/LOGIERAIT/KEMORE/WEEM/MOULIN,1861,0.0,0.0,False
ARROCHAR/ABERFOYLE/BUCHANAN,1861,0.0,0.0,False
ABERNETHY,1861,0.0,0.0,False
ABERNYTE/COLLACE/INCHTURE/KINNAIRD,1861,0.0,0.0,False
BENDOCHY/BLAIRGOWRIE/RATTRAY/ALYTH,1861,0.0,0.0,False
AUCHTERARDER,1861,0.0,0.0,False
AUCHTERGAVEN/KINCLAVEN/REDGORTON/STANLEY,1861,0.0,0.0,False
BLACKFORD,1861,0.0,0.0,False
BALQUHIDDER/CALLANDER,1861,0.0,0.0,False
CAPUTH/DOWALLY/DUNKELD,1861,0.0,0.0,False
CARGILL,1861,0.0,0.0,False
COMRIE/MONZIEVAIRD,1861,0.0,0.0,False
CRIEFF/FOWLIS-WESTER/LOGIEALMOND/MONZIE,1861,0.0,0.0,False
CULROSS,1861,0.0,0.0,False
ARNGASK/DRON/DUNBARNEY/RHYND,1861,0.0,0.0,False
ARDOCH/DUNBLANE/LECROPT/MUTHILL,1861,0.0,0.0,False
ERROL,1861,0.0,0.0,False
DUNNING/FINDO-GASK/MADDERTY/TRINITY-GASK,1861,0.0,0.0,False
FORGANDENNY/FORTEVIOT,1861,0.0,0.0,False
KILLIN/STRATHFILLAN,1861,0.0,0.0,False
KILMADOCK,1861,0.0,0.0,False
KILSPINDIE/KINFAUNS/KINNOULL/ST. MADOES/ST. MARTINS,1861,0.0,0.0,False
KINCARDINE,1861,92.9175945415638,197550.59707963793,True
KIRKMICHAEL/PERSIE,1861,0.0,0.0,False
LITTLE DUNKELD,1861,0.0,0.0,False
LOGIE,1861,0.0,0.0,False
LONGFORGAN,1861,0.0,0.0,False
METHVEN/MONEYDIE,1861,0.0,0.0,False
PERTH,1861,0.0,0.0,False
PORT OF MENTEITH,1861,0.0,0.0,False
CLUNIE/LETHENDY AND KINLOCH,1861,0.0,0.0,False
SCONE,1861,0.0,0.0,False
TORRYBURN/TULLIALLAN,1861,0.0,0.0,False
KINGHORN,1861,0.0,0.0,False
KIRKCALDY/ABBOTSHALL,1861,0.0,0.0,False
ANSTRUTHER-EASTER/ANSTRUTHER-WESTER,1861,0.0,0.0,False
AUCHTERDERRAN,1861,0.0,0.0,False
AUCHTERMUCHTY,1861,0.0,0.0,False
ABERDOUR/AUCHTERTOOL,1861,0.0,0.0,False
BALLINGRY,1861,0.0,0.0,False
BEATH,1861,0.0,0.0,False
BURNTISLAND,1861,0.0,0.0,False
CAMERON/CARNBEE,1861,0.0,0.0,False
CARNOCK/SALINE/TORRYBURN,1861,0.0,0.0,False
CERES,1861,0.0,0.0,False
COLLESSIE,1861,0.0,0.0,False
CRAIL/DUNINO/KINGSBARNS,1861,0.0,0.0,False
CULTS/KETTLE,1861,0.0,0.0,False
CUPAR,1861,0.0,0.0,False
BALMERINO/DAIRSIE/KEMBACK/KILMANY/LOGIE,1861,0.0,0.0,False
DALGETTY,1861,0.0,0.0,False
ABDIE/CREICH/DUNBOG/FLISK/MONIMAIL/MOONZIE,1861,0.0,0.0,False
DUNFERMLINE,1861,0.0,0.0,False
DYSART,1861,0.0,0.0,False
ELIE/KILCONQUHAR/NEWBURN,1861,0.0,0.0,False
FALKLAND,1861,0.0,0.0,False
FERRY-PORT-ON-CRAIG,1861,0.0,0.0,False
FORGAN,1861,0.0,0.0,False
INVERKEITHING,1861,0.0,0.0,False
KENNOWAY,1861,0.0,0.0,False
KILRENNY,1861,0.0,0.0,False
KINGLASSIE,1861,0.0,0.0,False
LARGO,1861,0.0,0.0,False
LESLIE,1861,0.0,0.0,False
LEUCHARS,1861,0.0,0.0,False
MARKINCH,1861,0.0,0.0,False
NEWBURGH,1861,0.0,0.0,False
PITTENWEEM,1861,0.0,0.0,False
ST. ANDREWS AND ST. LEONARDS,1861,0.0,0.0,False
ST. MONANCE,1861,0.0,0.0,False
SCOONIE,1861,0.0,0.0,False
STRATHMIGLO,1861,0.0,0.0,False
WEMYSS,1861,0.0,0.0,False
CLEISH/PORTMOAK,1861,0.0,0.0,False
MUCKHART/FOSSOWAY AND TULLIEBOLE/GLENDEVON,1861,0.0,0.0,False
KINROSS,1861,0.0,0.0,False
ORWELL,1861,0.0,0.0,False
ALLOA/CLACKMANNAN,1861,0.0,0.0,False
DOLLAR,1861,0.0,0.0,False
TILLICOULTRY,1861,0.0,0.0,False
AIRTH,1861,0.0,0.0,False
ALVA,1861,0.0,0.0,False
CAMPSIE/STRATHBLANE/BALDERNOCK,1861,0.0,0.0,False
BALFRON/FINTRY/KILLEARN,1861,0.0,0.0,False
DENNY,1861,0.0,0.0,False
DRYMEN,1861,0.0,0.0,False
DUNIPACE,1861,0.0,0.0,False
BOTHKENNAR/FALKIRK/GRANGEMOUTH,1861,0.0,0.0,False
GARGUNNOCK/KIPPEN,1861,0.0,0.0,False
KILSYTH,1861,0.0,0.0,False
LARBERT,1861,0.0,0.0,False
MUIRAVONSIDE,1861,0.0,0.0,False
POLMONT,1861,0.0,0.0,False
BANNOCKBURN/ST. NINIANS/STIRLING,1861,0.01192549109628533,0.7175805474091008,False
SLAMANNAN,1861,0.0,0.0,False
BONHILL,1861,0.0,0.0,False
CARDROSS,1861,0.0,0.0,False
CUMBERNAULD,1861,0.0,0.0,False
DUMBARTON,1861,0.0,0.0,False
KILMARONOCK/LUSS,1861,0.0,0.0,False
KIRKINTILLOCH,1861,0.0,0.0,False
NEW KILPATRICK,1861,0.0,0.0,False
OLD KILPATRICK,1861,0.0,0.0,False
ROSNEATH,1861,0.0,0.0,False
RHU OR ROW,1861,0.0,0.0,False
ARDCHATTAN/GLENORCHY AND INISHAIL/KILCHRENAN/MUCKAIRN,1861,0.0,0.0,False
CAMPBELTOWN/SOUTHEND,1861,0.0,0.0,False
CUMLODDEN/GLASSARY/LOCHGILPHEAD,1861,0.0,0.0,False
DUNOON AND KILMUN,1861,0.0,0.0,False
INVERARAY,1861,0.0,0.0,False
JURA/KILBRANDON AND KILCHATTAN/KILNINVER,1861,0.0,0.0,False
INVERCHAOLAIN/KILFINAN/KILMODAN,1861,0.0,0.0,False
KILLEAN AND KILCHENZIE,1861,0.0,0.0,False
KILMALLIE,1861,0.0,0.0,False
CRAIGNISH/KILMARTIN/NORTH KNAPDALE,1861,0.0,0.0,False
LOCHGOILHEAD/STRALACHLAN OR STRATHLACHLAN,1861,0.0,0.0,False
LISMORE/MORVERN,1861,0.0,0.0,False
SADDELL/TARBERT,1861,0.0,0.0,False
BOWMORE OR KILARROW/KILMENY,1861,0.0,0.0,False
GIGHA/KILCALMONELL/SOUTH KNAPDALE,1861,0.0,0.0,False
IONA/KILFINICHEN AND KILVICKEON/KINLOCHSPELVIE/TOROSAY,1861,0.0,0.0,False
KILNINIAN AND KILMORE/SALEN/TOBERMORY,1861,0.0,0.0,False
KILCHOMAN/PORTNAHAVEN,1861,0.0,0.0,False
KILDALTON AND OA,1861,0.0,0.0,False
KILMORE AND KILBRIDE,1861,0.0,0.0,False
TYREE,1861,0.0,0.0,False
CUMBRAE,1861,0.0,0.0,False
KILBRIDE/KILMORY/LOCHRANZA,1861,0.0,0.0,False
KINGARTH/NORTH BUTE,1861,0.0,0.0,False
ROTHESAY,1861,0.0,0.0,False
JOHNSTONE / ELDERSLIE,1861,0.0,0.0,False
CATHCART,1861,0.0,0.0,False
EAGLESHAM,1861,0.0,0.0,False
EASTWOOD,1861,0.0,0.0,False
ERSKINE/INCHINNAN,1861,0.0,0.0,False
GREENOCK/PORT-GLASGOW,1861,0.0,0.0,False
KILMACOLM,1861,0.0,0.0,False
INVERKIP,1861,0.0,0.0,False
BRIDGE OF WEIR/HOUSTON AND KILLELLAN/KILBARCHAN,1861,0.0,0.0,False
LOCHWINNOCH,1861,0.0,0.0,False
MEARNS,1861,0.0,0.0,False
NEILSTON,1861,0.0,0.0,False
PAISLEY,1861,0.0,0.0,False
PAISLEY LANDWARD,1861,0.0,0.0,False
OLD ARDROSSAN,1861,0.0,0.0,False
RENFREW,1861,0.0,0.0,False
NEW ARDROSSAN,1861,0.0,0.0,False
AUCHINLECK,1861,0.0,0.0,False
AYR/ST. QUIVOX,1861,0.0,0.0,False
BALLANTRAE,1861,0.0,0.0,False
BEITH,1861,0.0,0.0,False
BARR/COLMONELL,1861,0.0,0.0,False
COYLTON,1861,0.0,0.0,False
CRAIGIE/SYMINGTON,1861,0.0,0.0,False
DAILLY,1861,0.0,0.0,False
DALMELLINGTON/DALRYMPLE/PATNA/STRAITON,1861,0.0,0.0,False
DALRY,1861,0.0,0.0,False
DREGHORN,1861,0.0,0.0,False
DUNDONALD,1861,0.0,0.0,False
DUNLOP,1861,0.0,0.0,False
FENWICK,1861,0.0,0.0,False
GALSTON,1861,0.0,0.0,False
GIRVAN,1861,0.0,0.0,False
IRVINE,1861,0.0,0.0,False
KILBIRNIE,1861,0.0,0.0,False
KILMARNOCK,1861,0.0,0.0,False
KILMAURS,1861,0.0,0.0,False
KILWINNING,1861,0.0,0.0,False
CROSSHILL/KIRKMICHAEL/KIRKOSWALD,1861,0.0,0.0,False
LARGS,1861,0.0,0.0,False
LOUDOUN,1861,0.0,0.0,False
MAUCHLINE,1861,0.0,0.0,False
MAYBOLE,1861,0.0,0.0,False
MONKTON AND PRESTWICK,1861,0.0,0.0,False
MUIRKIRK,1861,0.0,0.0,False
NEW CUMNOCK,1861,0.0,0.0,False
STAIR/OCHILTREE,1861,0.0,0.0,False
OLD CUMNOCK,1861,0.0,0.0,False
RICCARTON,1861,0.0,0.0,False
SORN,1861,0.0,0.0,False
STEVENSTON,1861,0.0,0.0,False
STEWARTON,1861,0.0,0.0,False
TARBOLTON,1861,0.0,0.0,False
WEST KILBRIDE,1861,0.0,0.0,False
AVONDALE,1861,0.0,0.0,False
BARONY MARYHILL,1861,0.0,0.0,False
BARONY SHETTLESTON,1861,0.0,0.0,False
BIGGAR/LIBBERTON,1861,0.0,0.0,False
BLANTYRE,1861,0.0,0.0,False
BOTHWELL/BELLSHILL,1861,0.0,0.0,False
CADDER WEST,1861,0.0,0.0,False
CAMBUSLANG,1861,0.0,0.0,False
CADDER EAST,1861,0.0,0.0,False
CARLUKE,1861,0.0,0.0,False
CARMICHAEL/COVINGTON AND THANKERTON/PETTINAIN/SYMINGTON,1861,0.0,0.0,False
CARMUNNOCK/EAST KILBRIDE,1861,0.0,0.0,False
CARNWATH,1861,0.0,0.0,False
CARSTAIRS,1861,0.0,0.0,False
HOLYTOWN,1861,0.0,0.0,False
LARKHALL,1861,0.0,0.0,False
