Code,kreiskey1849,rb_1849
1,1,KON
2,2,KON
6,5,KON
7,6,KON
8,7,KON
9,8,KON
10,9,KON
12,11,KON
13,12,KON
14,13,KON
15,14,KON
16,15,KON
19,16,KON
20,17,KON
21,18,KON
22,19,KON
23,20,KON
24,21,GUM
25,22,GUM
29,24,GUM
30,25,GUM
31,26,GUM
32,27,GUM
33,28,GUM
36,29,GUM
37,30,GUM
38,31,GUM
39,32,GUM
40,33,GUM
41,34,GUM
42,35,GUM
43,36,GUM
47,38,DAN
54,41,DAN
56,43,DAN
57,44,DAN
59,45,MAR
60,46,MAR
61,47,MAR
62,48,MAR
63,49,MAR
65,50,MAR
68,51,MAR
69,52,MAR
72,53,MAR
74,54,MAR
75,55,MAR
76,56,MAR
77,57,MAR
79,85,POT
80,86,POT
81,87,POT
83,88,POT
85,89,POT
91,91,POT
92,90,POT
93,92,POT
94,93,POT
97,95,POT
99,96,POT
100,97,POT
101,98,POT
102,99,POT
103,100,FRA
104,101,FRA
105,102,FRA
106,103,FRA
107,104,FRA
110,105,FRA
114,108,FRA
115,110,FRA
119,111,FRA
120,112,FRA
121,113,FRA
122,114,FRA
126,115,FRA
127,116,FRA
128,117,STE
129,118,STE
130,119,STE
131,120,STE
132,121,STE
136,122,STE
137,123,STE
141,124,STE
142,125,STE
143,126,STE
144,127,STE
145,128,STE
146,129,KOS
147,130,KOS
148,131,KOS
149,132,KOS
153,134,KOS
154,135,KOS
155,136,KOS
158,137,KOS
159,138,KOS
160,139,STR
164,140,STR
165,141,STR
168,142,STR
169,58,POS
171,60,POS
172,61,POS
178,65,POS
179,66,POS
180,67,POS
182,68,POS
185,70,POS
186,71,POS
188,62,POS
193,73,POS
194,59,POS
196,74,POS
197,69,POS
203,77,BRO
207,79,BRO
210,81,BRO
212,83,BRO
213,82,BRO
215,143,BRE
216,144,BRE
218,146,BRE
219,147,BRE
220,148,BRE
221,149,BRE
222,150,BRE
223,151,BRE
227,153,BRE
228,154,BRE
231,155,BRE
232,156,BRE
233,157,BRE
234,158,BRE
235,159,BRE
236,160,BRE
239,161,BRE
240,162,BRE
241,163,BRE
243,164,BRE
244,181,LIE
245,182,LIE
246,183,LIE
247,184,LIE
248,185,LIE
249,186,LIE
250,187,LIE
255,190,LIE
256,191,LIE
257,192,LIE
258,193,LIE
259,194,LIE
260,195,LIE
261,196,LIE
265,198,LIE
266,199,LIE
267,165,OPP
268,166,OPP
269,167,OPP
272,168,OPP
273,169,OPP
277,170,OPP
279,171,OPP
287,172,OPP
289,174,OPP
292,175,OPP
293,176,OPP
294,177,OPP
295,178,OPP
296,179,OPP
299,180,OPP
300,200,MAG
301,201,MAG
302,202,MAG
303,203,MAG
306,205,MAG
307,204,MAG
308,206,MAG
309,208,MAG
313,209,MAG
314,210,MAG
315,211,MAG
316,212,MAG
325,214,MAG
326,215,MER
327,216,MER
328,217,MER
329,218,MER
330,219,MER
331,221,MER
335,220,MER
339,225,MER
340,226,MER
341,227,MER
342,228,MER
343,229,MER
346,230,MER
349,231,MER
356,233,ERF
357,234,ERF
358,235,ERF
361,236,ERF
362,237,ERF
366,239,ERF
367,240,ERF
489,241,MUN
490,242,MUN
491,243,MUN
492,244,MUN
496,247,MUN
497,248,MUN
498,249,MUN
499,250,MUN
501,251,MUN
504,252,MIN
505,253,MIN
506,254,MIN
509,255,MIN
513,257,MIN
514,258,MIN
515,259,MIN
516,260,MIN
517,261,MIN
518,262,ARN
519,263,ARN
520,264,ARN
521,265,ARN
522,266,ARN
523,267,ARN
541,270,ARN
545,271,ARN
549,272,ARN
550,273,ARN
551,274,ARN
552,275,ARN
603,303,KOB
604,300,KOB
605,304,KOB
607,306,KOB
608,307,KOB
609,308,KOB
610,309,KOB
611,310,KOB
612,311,KOB
614,287,DUS
615,288,DUS
633,290,DUS
634,291,DUS
646,295,DUS
647,296,DUS
650,297,DUS
653,298,DUS
657,276,KOL
658,278,KOL
659,277,KOL
660,279,KOL
661,280,KOL
666,283,KOL
667,284,KOL
668,285,KOL
672,312,TRI
673,313,TRI
674,314,TRI
675,315,TRI
676,318,TRI
679,319,TRI
680,320,TRI
681,321,TRI
682,322,TRI
685,323,TRI
687,325,AAC
688,326,AAC
689,327,AAC
690,328,AAC
691,329,AAC
695,332,AAC
696,333,AAC
697,334,AAC
698,335,AAC
