kreiskey1878,county,rb,tax1878_cta,tax1878_cit,tax1878_total,tax1878_tlt,tax1878_tin
1,"Memel","KON",73601,43247,228700,77963,141004
2,"Fischhausen","KON",51294,14903,192992,95134,148582
3,"Landkreis Königsberg","KON",43424,22325,225365,147780,188048
4,"Labiau","KON",37855,10259,129946,100064,155113
5,"Wehlau","KON",39638,17849,163934,74876,138699
6,"Gerdauen","KON",25439,14775,131341,79175,137599
7,"Rastenburg","KON",34577,22953,184550,116264,139311
8,"Friedland","KON",35002,23061,162716,134249,278738
9,"Preussisch Eylau","KON",45703,24494,196867,190930,257901
10,"Heiligenbeil","KON",36801,14306,155523,68920,129709
11,"Braunsberg","KON",69644,16550,190613,71123,111843
12,"Heilsberg","KON",63708,7094,167662,121978,150426
13,"Rössel","KON",57935,9776,145803,54968,78649
14,"Allenstein","KON",52158,8769,125578,35081,167324
15,"Ortelsburg","KON",29243,6785,101569,47189,93388
16,"Neidenburg","KON",36216,9477,119945,97654,182747
17,"Osterode i. Ostpr.","KON",42477,17859,152367,69964,110374
18,"Mohrungen","KON",38883,16623,159037,58080,99816
19,"Preussisch Holland","KON",47274,21150,182955,78101,170518
20,"Heydekrug","GUM",34094,4376,99986,35967,67069
21,"Niederung","GUM",50220,8136,173704,127740,224413
22,"Tilsit","GUM",78653,55696,272379,133159,291068
23,"Ragnit","GUM",42150,8108,151482,106420,147998
24,"Pillkallen","GUM",36662,5844,126630,66355,161706
25,"Stallupönen","GUM",39530,10188,135584,92272,112953
26,"Gumbinnen","GUM",52645,23795,164138,78061,106921
27,"Insterburg","GUM",75729,26501,236855,106312,185843
28,"Darkehmen","GUM",27696,10607,103591,64690,97233
29,"Angerburg","GUM",24732,7104,93556,30522,51188
30,"Goldap","GUM",31382,6875,90930,91019,110015
31,"Oletzko","GUM",34320,5910,86918,53606,82661
32,"Lyk","GUM",40354,7922,113597,66704,101803
33,"Lötzen","GUM",27859,7069,85246,72552,101125
34,"Sensburg","GUM",43341,8616,112517,58117,84963
