# Galloway 1994 GMFR replication, census year 1880
# Source: PS Heft 66 (no marital x age)
# Note: Kreis-level marital x age UNAVAILABLE in source.
# Primary cell: mwf_15_49_direct = Married Female 15-49,
#               as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1880_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
1,KON,MEMEL,59748,,,,,,,,,,,,,,,,,,,
2,KON,FISCHHAUSEN,51142,,,,,,,,,,,,,,,,,,,
6,KON,LABIAU,52847,,,,,,,,,,,,,,,,,,,
7,KON,WEHLAU,49867,,,,,,,,,,,,,,,,,,,
8,KON,GERDAUEN,37075,,,,,,,,,,,,,,,,,,,
9,KON,RASTENBURG,44060,,,,,,,,,,,,,,,,,,,
10,KON,FRIEDLAND,46702,,,,,,,,,,,,,,,,,,,
11,KON,PREUSSISCH EYLAU,56446,,,,,,,,,,,,,,,,,,,
12,KON,HEILIGENBEIL,46479,,,,,,,,,,,,,,,,,,,
13,KON,BRAUNSBERG,54471,,,,,,,,,,,,,,,,,,,
14,KON,HEILSBERG,55707,,,,,,,,,,,,,,,,,,,
15,KON,ROSSEL,50458,,,,,,,,,,,,,,,,,,,
16,KON,ALLENSTEIN,62331,,,,,,,,,,,,,,,,,,,
19,KON,ORTELSBURG,67111,,,,,,,,,,,,,,,,,,,
20,KON,NEIDENBURG,57379,,,,,,,,,,,,,,,,,,,
21,KON,OSTERODE,67490,,,,,,,,,,,,,,,,,,,
22,KON,MOHRUNGEN,56835,,,,,,,,,,,,,,,,,,,
23,KON,PREUSSISCH HOLLAND,45345,,,,,,,,,,,,,,,,,,,
24,GUM,HEYDEKRUG,42238,,,,,,,,,,,,,,,,,,,
25,GUM,NIEDERUNG,55243,,,,,,,,,,,,,,,,,,,
26,GUM,TILSIT,68421,,,,,,,,,,,,,,,,,,,
29,GUM,RAGNIT,54394,,,,,,,,,,,,,,,,,,,
30,GUM,PILLKALLEN,46082,,,,,,,,,,,,,,,,,,,
31,GUM,STALLUPONEN,46079,,,,,,,,,,,,,,,,,,,
32,GUM,GUMBINNEN,47491,,,,,,,,,,,,,,,,,,,
33,GUM,INSTERBURG,71349,,,,,,,,,,,,,,,,,,,
36,GUM,DARKEHMEN,36233,,,,,,,,,,,,,,,,,,,
37,GUM,ANGERBURG,38497,,,,,,,,,,,,,,,,,,,
38,GUM,GOLDAP,44290,,,,,,,,,,,,,,,,,,,
39,GUM,OLETZKO,40481,,,,,,,,,,,,,,,,,,,
40,GUM,LYCK,51167,,,,,,,,,,,,,,,,,,,
41,GUM,LOTZEN,41183,,,,,,,,,,,,,,,,,,,
42,GUM,SENSBURG,48615,,,,,,,,,,,,,,,,,,,
43,GUM,JOHANNISBURG,46628,,,,,,,,,,,,,,,,,,,
47,DAN,MARIENBURG,59819,,,,,,,,,,,,,,,,,,,
54,DAN,PREUSSISCH STARGARD,77131,,,,,,,,,,,,,,,,,,,
55,DAN,BERENT,46324,,,,,,,,,,,,,,,,,,,
56,DAN,KARTHAUS,59268,,,,,,,,,,,,,,,,,,,
57,DAN,NEUSTADT,64698,,,,,,,,,,,,,,,,,,,
59,MAR,STUHM,39695,,,,,,,,,,,,,,,,,,,
60,MAR,MARIENWERDER,66404,,,,,,,,,,,,,,,,,,,
61,MAR,ROSENBERG,50343,,,,,,,,,,,,,,,,,,,
62,MAR,LOBAU,53835,,,,,,,,,,,,,,,,,,,
63,MAR,STRASBURG,69815,,,,,,,,,,,,,,,,,,,
65,MAR,THORN,81434,,,,,,,,,,,,,,,,,,,
68,MAR,KULM,57225,,,,,,,,,,,,,,,,,,,
69,MAR,GRAUDENZ,63141,,,,,,,,,,,,,,,,,,,
72,MAR,SCHWETZ,76916,,,,,,,,,,,,,,,,,,,
73,MAR,TUCHEL,27956,,,,,,,,,,,,,,,,,,,
74,MAR,KONITZ,48786,,,,,,,,,,,,,,,,,,,
75,MAR,SCHLOCHAU,66985,,,,,,,,,,,,,,,,,,,
76,MAR,FLATOW,67119,,,,,,,,,,,,,,,,,,,
77,MAR,DEUTSCH KRONE,67063,,,,,,,,,,,,,,,,,,,
79,POT,PRENZLAU,56180,,,,,,,,,,,,,,,,,,,
80,POT,TEMPLIN,45549,,,,,,,,,,,,,,,,,,,
81,POT,ANGERMUNDE,68066,,,,,,,,,,,,,,,,,,,
83,POT,OBERBARNIM,78804,,,,,,,,,,,,,,,,,,,
85,POT,NIEDERBARNIM,127215,,,,,,,,,,,,,,,,,,,
91,POT,TELTOW,137665,,,,,,,,,,,,,,,,,,,
92,POT,BEESKOW-STORKOW,43850,,,,,,,,,,,,,,,,,,,
93,POT,JUTERBOG-LUCKENWALDE,63455,,,,,,,,,,,,,,,,,,,
94,POT,ZAUCH-BELZIG,72403,,,,,,,,,,,,,,,,,,,
97,POT,OSTHAVELLAND,88387,,,,,,,,,,,,,,,,,,,
99,POT,WESTHAVELLAND,53509,,,,,,,,,,,,,,,,,,,
100,POT,RUPPIN,77762,,,,,,,,,,,,,,,,,,,
101,POT,OSTPRIGNITZ,67535,,,,,,,,,,,,,,,,,,,
102,POT,WESTPRIGNITZ,72956,,,,,,,,,,,,,,,,,,,
103,FRA,KONIGSBERG,98521,,,,,,,,,,,,,,,,,,,
104,FRA,SOLDIN,48822,,,,,,,,,,,,,,,,,,,
105,FRA,ARNSWALDE,43837,,,,,,,,,,,,,,,,,,,
106,FRA,FRIEDEBERG,57887,,,,,,,,,,,,,,,,,,,
107,FRA,LANDSBERG,86230,,,,,,,,,,,,,,,,,,,
110,FRA,LEBUS,95250,,,,,,,,,,,,,,,,,,,
112,FRA,WESTSTERNBERG,45571,,,,,,,,,,,,,,,,,,,
113,FRA,OSTSTERNBERG,50879,,,,,,,,,,,,,,,,,,,
114,FRA,ZULLICHAU-SCHWIEBUS,50345,,,,,,,,,,,,,,,,,,,
115,FRA,KROSSEN,62035,,,,,,,,,,,,,,,,,,,
116,FRA,GUBEN,68000,,,,,,,,,,,,,,,,,,,
119,FRA,LUBBEN,34624,,,,,,,,,,,,,,,,,,,
120,FRA,LUCKAU,62792,,,,,,,,,,,,,,,,,,,
121,FRA,KALAU,52788,,,,,,,,,,,,,,,,,,,
122,FRA,KOTTBUS,75227,,,,,,,,,,,,,,,,,,,
126,FRA,SORAU,96027,,,,,,,,,,,,,,,,,,,
127,FRA,SPREMBERG,25511,,,,,,,,,,,,,,,,,,,
128,STE,DEMMIN,48454,,,,,,,,,,,,,,,,,,,
129,STE,ANKLAM,31619,,,,,,,,,,,,,,,,,,,
130,STE,USEDOM-WOLLIN,49234,,,,,,,,,,,,,,,,,,,
131,STE,UCKERMUNDE,48816,,,,,,,,,,,,,,,,,,,
132,STE,RANDOW,109056,,,,,,,,,,,,,,,,,,,
136,STE,GREIFENHAGEN,55037,,,,,,,,,,,,,,,,,,,
137,STE,PYRITZ,45055,,,,,,,,,,,,,,,,,,,
141,STE,SAATZIG,68811,,,,,,,,,,,,,,,,,,,
142,STE,NAUGARD,57583,,,,,,,,,,,,,,,,,,,
143,STE,KAMMIN,45637,,,,,,,,,,,,,,,,,,,
144,STE,GREIFENBERG,37968,,,,,,,,,,,,,,,,,,,
145,STE,REGENWALDE,48763,,,,,,,,,,,,,,,,,,,
146,KOS,SCHIVELBEIN,20001,,,,,,,,,,,,,,,,,,,
147,KOS,DRAMBURG,37225,,,,,,,,,,,,,,,,,,,
148,KOS,NEUSTETTIN,77933,,,,,,,,,,,,,,,,,,,
149,KOS,BELGARD,47861,,,,,,,,,,,,,,,,,,,
150,KOS,KOLBERG-KORLIN,52016,,,,,,,,,,,,,,,,,,,
151,KOS,KOSLIN,46390,,,,,,,,,,,,,,,,,,,
152,KOS,BUBLITZ,21865,,,,,,,,,,,,,,,,,,,
153,KOS,SCHLAWE,78312,,,,,,,,,,,,,,,,,,,
154,KOS,RUMMELSBURG,34788,,,,,,,,,,,,,,,,,,,
155,KOS,STOLP,100250,,,,,,,,,,,,,,,,,,,
158,KOS,LAUENBURG,44544,,,,,,,,,,,,,,,,,,,
159,KOS,BUTOW,24930,,,,,,,,,,,,,,,,,,,
160,STR,RUGEN,46115,,,,,,,,,,,,,,,,,,,
164,STR,FRANZBURG,43767,,,,,,,,,,,,,,,,,,,
165,STR,GREIFSWALD,59655,,,,,,,,,,,,,,,,,,,
168,STR,GRIMMEN,37112,,,,,,,,,,,,,,,,,,,
169,POS,WRESCHEN,41515,,,,,,,,,,,,,,,,,,,
194,POS,PLESCHEN,64762,,,,,,,,,,,,,,,,,,,
171,POS,SCHRODA,52633,,,,,,,,,,,,,,,,,,,
172,POS,SCHRIMM,60578,,,,,,,,,,,,,,,,,,,
188,POS,KOSTEN,74141,,,,,,,,,,,,,,,,,,,
184,POS,GRATZ,61343,,,,,,,,,,,,,,,,,,,
178,POS,OBORNIK,50182,,,,,,,,,,,,,,,,,,,
179,POS,SAMTER,53375,,,,,,,,,,,,,,,,,,,
180,POS,BIRNBAUM,50365,,,,,,,,,,,,,,,,,,,
182,POS,MESERITZ,48295,,,,,,,,,,,,,,,,,,,
185,POS,BOMST,57379,,,,,,,,,,,,,,,,,,,
186,POS,FRAUSTADT,65170,,,,,,,,,,,,,,,,,,,
191,POS,GOSTYN,82146,,,,,,,,,,,,,,,,,,,
193,POS,KROTOSCHIN,70427,,,,,,,,,,,,,,,,,,,
196,POS,ADELNAU,63075,,,,,,,,,,,,,,,,,,,
197,POS,SCHILDBERG,65821,,,,,,,,,,,,,,,,,,,
200,BRO,CZARNIKAU,70755,,,,,,,,,,,,,,,,,,,
202,BRO,KOLMAR,57968,,,,,,,,,,,,,,,,,,,
203,BRO,WIRSITZ,58900,,,,,,,,,,,,,,,,,,,
207,BRO,SCHUBIN,58760,,,,,,,,,,,,,,,,,,,
208,BRO,HOHENSALZA,84928,,,,,,,,,,,,,,,,,,,
210,BRO,MOGILNO,48346,,,,,,,,,,,,,,,,,,,
213,BRO,GNESEN,65709,,,,,,,,,,,,,,,,,,,
212,BRO,WONGROWITZ,55681,,,,,,,,,,,,,,,,,,,
215,BRE,NAMSLAU,38019,,,,,,,,,,,,,,,,,,,
216,BRE,GROSS WARTENBERG,51467,,,,,,,,,,,,,,,,,,,
217,BRE,OLS,68006,,,,,,,,,,,,,,,,,,,
218,BRE,TREBNITZ,52517,,,,,,,,,,,,,,,,,,,
219,BRE,MILITSCH,54874,,,,,,,,,,,,,,,,,,,
220,BRE,GUHRAU,36658,,,,,,,,,,,,,,,,,,,
221,BRE,STEINAU,24694,,,,,,,,,,,,,,,,,,,
222,BRE,WOHLAU,48485,,,,,,,,,,,,,,,,,,,
223,BRE,NEUMARKT,57680,,,,,,,,,,,,,,,,,,,
227,BRE,OHLAU,57098,,,,,,,,,,,,,,,,,,,
228,BRE,BRIEG,59395,,,,,,,,,,,,,,,,,,,
231,BRE,STREHLEN,36912,,,,,,,,,,,,,,,,,,,
232,BRE,NIMPTSCH,31595,,,,,,,,,,,,,,,,,,,
233,BRE,MUNSTERBERG,33444,,,,,,,,,,,,,,,,,,,
234,BRE,FRANKENSTEIN,50723,,,,,,,,,,,,,,,,,,,
235,BRE,REICHENBACH,68474,,,,,,,,,,,,,,,,,,,
236,BRE,SCHWEIDNITZ,92100,,,,,,,,,,,,,,,,,,,
239,BRE,STRIEGAU,39838,,,,,,,,,,,,,,,,,,,
240,BRE,WALDENBURG,112358,,,,,,,,,,,,,,,,,,,
