# Galloway 1994 GMFR replication, census year 1885
# Source: PS Heft 96 (totals only)
# Note: Source gives marital totals but no age breakdown at Kreis level.
# Primary cell: mwf_15_49_direct = Married Female 15-49 (or None where noted), as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1885_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
1,KON,MEMEL,58551,,,,,,,,,,,,,,,,,,,
2,KON,FISCHHAUSEN,52243,,,,,,,,,,,,,,,,,,,
6,KON,LABIAU,53150,,,,,,,,,,,,,,,,,,,
7,KON,WEHLAU,50056,,,,,,,,,,,,,,,,,,,
8,KON,GERDAUEN,37298,,,,,,,,,,,,,,,,,,,
9,KON,RASTENBURG,45132,,,,,,,,,,,,,,,,,,,
10,KON,FRIEDLAND,45553,,,,,,,,,,,,,,,,,,,
11,KON,PREUSSISCH EYLAU,55828,,,,,,,,,,,,,,,,,,,
12,KON,HEILIGENBEIL,46332,,,,,,,,,,,,,,,,,,,
13,KON,BRAUNSBERG,53469,,,,,,,,,,,,,,,,,,,
14,KON,HEILSBERG,55495,,,,,,,,,,,,,,,,,,,
15,KON,ROSSEL,50167,,,,,,,,,,,,,,,,,,,
16,KON,ALLENSTEIN,68973,,,,,,,,,,,,,,,,,,,
19,KON,ORTELSBURG,69040,,,,,,,,,,,,,,,,,,,
20,KON,NEIDENBURG,57001,,,,,,,,,,,,,,,,,,,
21,KON,OSTERODE,67694,,,,,,,,,,,,,,,,,,,
22,KON,MOHRUNGEN,55869,,,,,,,,,,,,,,,,,,,
23,KON,PREUSSISCH HOLLAND,44142,,,,,,,,,,,,,,,,,,,
24,GUM,HEYDEKRUG,42341,,,,,,,,,,,,,,,,,,,
25,GUM,NIEDERUNG,55677,,,,,,,,,,,,,,,,,,,
26,GUM,TILSIT,69619,,,,,,,,,,,,,,,,,,,
29,GUM,RAGNIT,54391,,,,,,,,,,,,,,,,,,,
30,GUM,PILLKALLEN,46397,,,,,,,,,,,,,,,,,,,
31,GUM,STALLUPONEN,45799,,,,,,,,,,,,,,,,,,,
32,GUM,GUMBINNEN,47848,,,,,,,,,,,,,,,,,,,
33,GUM,INSTERBURG,72060,,,,,,,,,,,,,,,,,,,
36,GUM,DARKEHMEN,35246,,,,,,,,,,,,,,,,,,,
37,GUM,ANGERBURG,38163,,,,,,,,,,,,,,,,,,,
38,GUM,GOLDAP,45442,,,,,,,,,,,,,,,,,,,
39,GUM,OLETZKO,41273,,,,,,,,,,,,,,,,,,,
40,GUM,LYCK,53797,,,,,,,,,,,,,,,,,,,
41,GUM,LOTZEN,42666,,,,,,,,,,,,,,,,,,,
42,GUM,SENSBURG,48937,,,,,,,,,,,,,,,,,,,
43,GUM,JOHANNISBURG,48703,,,,,,,,,,,,,,,,,,,
47,DAN,MARIENBURG,59831,,,,,,,,,,,,,,,,,,,
54,DAN,PREUSSISCH STARGARD,76966,,,,,,,,,,,,,,,,,,,
55,DAN,BERENT,46374,,,,,,,,,,,,,,,,,,,
56,DAN,KARTHAUS,58818,,,,,,,,,,,,,,,,,,,
57,DAN,NEUSTADT,64735,,,,,,,,,,,,,,,,,,,
59,MAR,STUHM,37547,,,,,,,,,,,,,,,,,,,
60,MAR,MARIENWERDER,64025,,,,,,,,,,,,,,,,,,,
61,MAR,ROSENBERG,49571,,,,,,,,,,,,,,,,,,,
62,MAR,LOBAU,52775,,,,,,,,,,,,,,,,,,,
63,MAR,STRASBURG,67003,,,,,,,,,,,,,,,,,,,
65,MAR,THORN,89125,,,,,,,,,,,,,,,,,,,
68,MAR,KULM,57483,,,,,,,,,,,,,,,,,,,
69,MAR,GRAUDENZ,62448,,,,,,,,,,,,,,,,,,,
72,MAR,SCHWETZ,76229,,,,,,,,,,,,,,,,,,,
73,MAR,TUCHEL,27772,,,,,,,,,,,,,,,,,,,
74,MAR,KONITZ,50711,,,,,,,,,,,,,,,,,,,
75,MAR,SCHLOCHAU,64945,,,,,,,,,,,,,,,,,,,
76,MAR,FLATOW,64717,,,,,,,,,,,,,,,,,,,
77,MAR,DEUTSCH KRONE,65108,,,,,,,,,,,,,,,,,,,
78,BER,BERLIN,1315287,,,,,,,,,,,,,,,,,,,
79,POT,PRENZLAU,55403,,,,,,,,,,,,,,,,,,,
80,POT,TEMPLIN,43980,,,,,,,,,,,,,,,,,,,
81,POT,ANGERMUNDE,64974,,,,,,,,,,,,,,,,,,,
83,POT,OBERBARNIM,79981,,,,,,,,,,,,,,,,,,,
85,POT,NIEDERBARNIM,144716,,,,,,,,,,,,,,,,,,,
91,POT,TELTOW,163107,,,,,,,,,,,,,,,,,,,
92,POT,BEESKOW-STORKOW,42991,,,,,,,,,,,,,,,,,,,
93,POT,JUTERBOG-LUCKENWALDE,64768,,,,,,,,,,,,,,,,,,,
94,POT,ZAUCH-BELZIG,74482,,,,,,,,,,,,,,,,,,,
97,POT,OSTHAVELLAND,92907,,,,,,,,,,,,,,,,,,,
99,POT,WESTHAVELLAND,55407,,,,,,,,,,,,,,,,,,,
100,POT,RUPPIN,77581,,,,,,,,,,,,,,,,,,,
101,POT,OSTPRIGNITZ,67137,,,,,,,,,,,,,,,,,,,
102,POT,WESTPRIGNITZ,72309,,,,,,,,,,,,,,,,,,,
103,FRA,KONIGSBERG,96535,,,,,,,,,,,,,,,,,,,
104,FRA,SOLDIN,47988,,,,,,,,,,,,,,,,,,,
105,FRA,ARNSWALDE,42336,,,,,,,,,,,,,,,,,,,
106,FRA,FRIEDEBERG,57130,,,,,,,,,,,,,,,,,,,
107,FRA,LANDSBERG,88130,,,,,,,,,,,,,,,,,,,
110,FRA,LEBUS,93015,,,,,,,,,,,,,,,,,,,
112,FRA,WESTSTERNBERG,45533,,,,,,,,,,,,,,,,,,,
113,FRA,OSTSTERNBERG,51419,,,,,,,,,,,,,,,,,,,
114,FRA,ZULLICHAU-SCHWIEBUS,50347,,,,,,,,,,,,,,,,,,,
115,FRA,KROSSEN,61379,,,,,,,,,,,,,,,,,,,
119,FRA,LUBBEN,34716,,,,,,,,,,,,,,,,,,,
120,FRA,LUCKAU,63420,,,,,,,,,,,,,,,,,,,
121,FRA,KALAU,55024,,,,,,,,,,,,,,,,,,,
122,FRA,KOTTBUS,79777,,,,,,,,,,,,,,,,,,,
126,FRA,SORAU,100803,,,,,,,,,,,,,,,,,,,
127,FRA,SPREMBERG,25119,,,,,,,,,,,,,,,,,,,
128,STE,DEMMIN,46464,,,,,,,,,,,,,,,,,,,
129,STE,ANKLAM,31088,,,,,,,,,,,,,,,,,,,
130,STE,USEDOM-WOLLIN,48855,,,,,,,,,,,,,,,,,,,
131,STE,UCKERMUNDE,48693,,,,,,,,,,,,,,,,,,,
132,STE,RANDOW,109462,,,,,,,,,,,,,,,,,,,
136,STE,GREIFENHAGEN,52158,,,,,,,,,,,,,,,,,,,
137,STE,PYRITZ,43968,,,,,,,,,,,,,,,,,,,
141,STE,SAATZIG,66688,,,,,,,,,,,,,,,,,,,
142,STE,NAUGARD,55208,,,,,,,,,,,,,,,,,,,
143,STE,KAMMIN,43626,,,,,,,,,,,,,,,,,,,
144,STE,GREIFENBERG,36257,,,,,,,,,,,,,,,,,,,
145,STE,REGENWALDE,46036,,,,,,,,,,,,,,,,,,,
146,KOS,SCHIVELBEIN,19002,,,,,,,,,,,,,,,,,,,
147,KOS,DRAMBURG,35943,,,,,,,,,,,,,,,,,,,
148,KOS,NEUSTETTIN,74463,,,,,,,,,,,,,,,,,,,
149,KOS,BELGARD,45732,,,,,,,,,,,,,,,,,,,
150,KOS,KOLBERG-KORLIN,51138,,,,,,,,,,,,,,,,,,,
151,KOS,KOSLIN,45101,,,,,,,,,,,,,,,,,,,
152,KOS,BUBLITZ,21003,,,,,,,,,,,,,,,,,,,
153,KOS,SCHLAWE,75447,,,,,,,,,,,,,,,,,,,
154,KOS,RUMMELSBURG,34003,,,,,,,,,,,,,,,,,,,
155,KOS,STOLP,98510,,,,,,,,,,,,,,,,,,,
158,KOS,LAUENBURG,42876,,,,,,,,,,,,,,,,,,,
159,KOS,BUTOW,24146,,,,,,,,,,,,,,,,,,,
160,STR,RUGEN,45039,,,,,,,,,,,,,,,,,,,
164,STR,FRANZBURG,41985,,,,,,,,,,,,,,,,,,,
165,STR,GREIFSWALD,58551,,,,,,,,,,,,,,,,,,,
168,STR,GRIMMEN,35606,,,,,,,,,,,,,,,,,,,
169,POS,WRESCHEN,41514,,,,,,,,,,,,,,,,,,,
194,POS,PLESCHEN,63230,,,,,,,,,,,,,,,,,,,
171,POS,SCHRODA,52939,,,,,,,,,,,,,,,,,,,
172,POS,SCHRIMM,59343,,,,,,,,,,,,,,,,,,,
188,POS,KOSTEN,76138,,,,,,,,,,,,,,,,,,,
184,POS,GRATZ,63401,,,,,,,,,,,,,,,,,,,
178,POS,OBORNIK,48092,,,,,,,,,,,,,,,,,,,
179,POS,SAMTER,53113,,,,,,,,,,,,,,,,,,,
180,POS,BIRNBAUM,49884,,,,,,,,,,,,,,,,,,,
182,POS,MESERITZ,49663,,,,,,,,,,,,,,,,,,,
185,POS,BOMST,58165,,,,,,,,,,,,,,,,,,,
186,POS,FRAUSTADT,66878,,,,,,,,,,,,,,,,,,,
191,POS,GOSTYN,84359,,,,,,,,,,,,,,,,,,,
193,POS,KROTOSCHIN,71847,,,,,,,,,,,,,,,,,,,
196,POS,ADELNAU,63720,,,,,,,,,,,,,,,,,,,
197,POS,SCHILDBERG,64572,,,,,,,,,,,,,,,,,,,
200,BRO,CZARNIKAU,70772,,,,,,,,,,,,,,,,,,,
202,BRO,KOLMAR,57643,,,,,,,,,,,,,,,,,,,
203,BRO,WIRSITZ,57367,,,,,,,,,,,,,,,,,,,
207,BRO,SCHUBIN,57112,,,,,,,,,,,,,,,,,,,
208,BRO,HOHENSALZA,89017,,,,,,,,,,,,,,,,,,,
210,BRO,MOGILNO,47976,,,,,,,,,,,,,,,,,,,
213,BRO,GNESEN,65783,,,,,,,,,,,,,,,,,,,
212,BRO,WONGROWITZ,54607,,,,,,,,,,,,,,,,,,,
215,BRE,NAMSLAU,37738,,,,,,,,,,,,,,,,,,,
216,BRE,GROSS WARTENBERG,51197,,,,,,,,,,,,,,,,,,,
217,BRE,OLS,67443,,,,,,,,,,,,,,,,,,,
218,BRE,TREBNITZ,52126,,,,,,,,,,,,,,,,,,,
219,BRE,MILITSCH,53995,,,,,,,,,,,,,,,,,,,
220,BRE,GUHRAU,36955,,,,,,,,,,,,,,,,,,,
221,BRE,STEINAU,24924,,,,,,,,,,,,,,,,,,,
222,BRE,WOHLAU,47999,,,,,,,,,,,,,,,,,,,
223,BRE,NEUMARKT,57678,,,,,,,,,,,,,,,,,,,
227,BRE,OHLAU,56409,,,,,,,,,,,,,,,,,,,
228,BRE,BRIEG,60820,,,,,,,,,,,,,,,,,,,
231,BRE,STREHLEN,37614,,,,,,,,,,,,,,,,,,,
232,BRE,NIMPTSCH,31656,,,,,,,,,,,,,,,,,,,
233,BRE,MUNSTERBERG,33154,,,,,,,,,,,,,,,,,,,
234,BRE,FRANKENSTEIN,50193,,,,,,,,,,,,,,,,,,,
235,BRE,REICHENBACH,68826,,,,,,,,,,,,,,,,,,,
236,BRE,SCHWEIDNITZ,95011,,,,,,,,,,,,,,,,,,,
239,BRE,STRIEGAU,41075,,,,,,,,,,,,,,,,,,,
240,BRE,WALDENBURG,117684,,,,,,,,,,,,,,,,,,,
241,BRE,GLATZ,64442,,,,,,,,,,,,,,,,,,,
242,BRE,NEURODE,51062,,,,,,,,,,,,,,,,,,,
243,BRE,HABELSCHWERDT,60954,,,,,,,,,,,,,,,,,,,
244,LIE,GRUNBERG,52764,,,,,,,,,,,,,,,,,,,
245,LIE,FREISTADT,51703,,,,,,,,,,,,,,,,,,,
246,LIE,SAGAN,56536,,,,,,,,,,,,,,,,,,,
247,LIE,SPROTTAU,35827,,,,,,,,,,,,,,,,,,,
248,LIE,GLOGAU,75990,,,,,,,,,,,,,,,,,,,
249,LIE,LUBEN,33630,,,,,,,,,,,,,,,,,,,
250,LIE,BUNZLAU,59573,,,,,,,,,,,,,,,,,,,
251,LIE,GOLDBERG-HAINAU,49854,,,,,,,,,,,,,,,,,,,
255,LIE,JAUER,35118,,,,,,,,,,,,,,,,,,,
256,LIE,SCHONAU,24928,,,,,,,,,,,,,,,,,,,
257,LIE,BOLKENHAIN,31805,,,,,,,,,,,,,,,,,,,
258,LIE,LANDESHUT,48588,,,,,,,,,,,,,,,,,,,
259,LIE,HIRSCHBERG,69732,,,,,,,,,,,,,,,,,,,
260,LIE,LOWENBERG,63243,,,,,,,,,,,,,,,,,,,
261,LIE,LAUBAN,67113,,,,,,,,,,,,,,,,,,,
265,LIE,ROTHENBURG,50919,,,,,,,,,,,,,,,,,,,
266,LIE,HOYERSWERDA,33061,,,,,,,,,,,,,,,,,,,
267,OPP,KREUZBURG,43826,,,,,,,,,,,,,,,,,,,
268,OPP,ROSENBERG,46888,,,,,,,,,,,,,,,,,,,
269,OPP,OPPELN,115372,,,,,,,,,,,,,,,,,,,
272,OPP,GROSS STREHLITZ,65302,,,,,,,,,,,,,,,,,,,
273,OPP,LUBLINITZ,44087,,,,,,,,,,,,,,,,,,,
277,OPP,TOST-GLEIWITZ,95654,,,,,,,,,,,,,,,,,,,
278,OPP,TARNOWITZ,47856,,,,,,,,,,,,,,,,,,,
279,OPP,BEUTHEN,131998,,,,,,,,,,,,,,,,,,,
283,OPP,ZABRZE,59199,,,,,,,,,,,,,,,,,,,
284,OPP,KATTOWITZ,105358,,,,,,,,,,,,,,,,,,,
287,OPP,PLESS,95659,,,,,,,,,,,,,,,,,,,
288,OPP,RYBNIK,79669,,,,,,,,,,,,,,,,,,,
289,OPP,RATIBOR,130442,,,,,,,,,,,,,,,,,,,
292,OPP,KOSEL,68486,,,,,,,,,,,,,,,,,,,
293,OPP,LEOBSCHUTZ,86875,,,,,,,,,,,,,,,,,,,
294,OPP,NEUSTADT,95456,,,,,,,,,,,,,,,,,,,
295,OPP,FALKENBERG,40186,,,,,,,,,,,,,,,,,,,
296,OPP,NEISSE,100177,,,,,,,,,,,,,,,,,,,
299,OPP,GROTTKAU,45105,,,,,,,,,,,,,,,,,,,
300,MAG,OSTERBURG,44455,,,,,,,,,,,,,,,,,,,
301,MAG,SALZWEDEL,50546,,,,,,,,,,,,,,,,,,,
302,MAG,GARDELEGEN,52018,,,,,,,,,,,,,,,,,,,
303,MAG,STENDAL,58104,,,,,,,,,,,,,,,,,,,
306,MAG,JERICHOW I,70190,,,,,,,,,,,,,,,,,,,
307,MAG,JERICHOW II,55023,,,,,,,,,,,,,,,,,,,
308,MAG,KALBE,92958,,,,,,,,,,,,,,,,,,,
309,MAG,WANZLEBEN,74115,,,,,,,,,,,,,,,,,,,
313,MAG,WOLMIRSTEDT,50978,,,,,,,,,,,,,,,,,,,
314,MAG,NEUHALDENSLEBEN,57944,,,,,,,,,,,,,,,,,,,
315,MAG,OSCHERSLEBEN,52182,,,,,,,,,,,,,,,,,,,
316,MAG,ASCHERSLEBEN,74813,,,,,,,,,,,,,,,,,,,
322,MAG,HALBERSTADT,70433,,,,,,,,,,,,,,,,,,,
325,MAG,WERNIGERODE,26481,,,,,,,,,,,,,,,,,,,
326,MER,LIEBENWERDA,47568,,,,,,,,,,,,,,,,,,,
327,MER,TORGAU,55657,,,,,,,,,,,,,,,,,,,
328,MER,SCHWEINITZ,42178,,,,,,,,,,,,,,,,,,,
329,MER,WITTENBERG,53468,,,,,,,,,,,,,,,,,,,
330,MER,BITTERFELD,54469,,,,,,,,,,,,,,,,,,,
331,MER,SAALKREIS,75559,,,,,,,,,,,,,,,,,,,
335,MER,DELITZSCH,59821,,,,,,,,,,,,,,,,,,,
