# Galloway 1994 GMFR replication, census year 1890
# Source: PS Heft 121:2 (Zweiter Theil)
# Note: Direct cell: Married Female 15-49. Vorwort of 121:1 confirms Familienstand is in 121:2.
# Primary cell: mwf_15_49_direct = Married Female 15-49,
#               as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1890_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
1,KON,MEMEL,59410,,,,,,,,,,,,,,,,,,,
2,KON,FISCHHAUSEN,51867,,,,,,,,,,,,,,,,,,,
6,KON,LABIAU,53220,,,,,,,,,,,,,,,,,,,
7,KON,WEHLAU,48556,,,,,,,,,,,,,,,,,,,
8,KON,GERDAUEN,35151,,,,,,,,,,,,,,,,,,,
9,KON,RASTENBURG,43330,,,,,,,,,,,,,,,,,,,
10,KON,FRIEDLAND,42708,,,,,,,,,,,,,,,,,,,
11,KON,PREUSSISCH EYLAU,52924,,,,,,,,,,,,,,,,,,,
12,KON,HEILIGENBEIL,44809,,,,,,,,,,,,,,,,,,,
13,KON,BRAUNSBERG,52209,,,,,,,,,,,,,,,,,,,
14,KON,HEILSBERG,53537,,,,,,,,,,,,,,,,,,,
15,KON,ROSSEL,49329,,,,,,,,,,,,,,,,,,,
16,KON,ALLENSTEIN,77612,,,,,,,,,,,,,,,,,,,
19,KON,ORTELSBURG,70323,,,,,,,,,,,,,,,,,,,
20,KON,NEIDENBURG,56058,,,,,,,,,,,,,,,,,,,
21,KON,OSTERODE,69487,,,,,,,,,,,,,,,,,,,
22,KON,MOHRUNGEN,53479,,,,,,,,,,,,,,,,,,,
23,KON,PREUSSISCH HOLLAND,41407,,,,,,,,,,,,,,,,,,,
24,GUM,HEYDEKRUG,42143,,,,,,,,,,,,,,,,,,,
25,GUM,NIEDERUNG,55614,,,,,,,,,,,,,,,,,,,
26,GUM,TILSIT,71666,,,,,,,,,,,,,,,,,,,
29,GUM,RAGNIT,54725,,,,,,,,,,,,,,,,,,,
30,GUM,PILLKALLEN,46664,,,,,,,,,,,,,,,,,,,
31,GUM,STALLUPONEN,45329,,,,,,,,,,,,,,,,,,,
32,GUM,GUMBINNEN,48928,,,,,,,,,,,,,,,,,,,
33,GUM,INSTERBURG,71782,,,,,,,,,,,,,,,,,,,
36,GUM,DARKEHMEN,34207,,,,,,,,,,,,,,,,,,,
37,GUM,ANGERBURG,35951,,,,,,,,,,,,,,,,,,,
38,GUM,GOLDAP,45002,,,,,,,,,,,,,,,,,,,
39,GUM,OLETZKO,40401,,,,,,,,,,,,,,,,,,,
40,GUM,LYCK,54804,,,,,,,,,,,,,,,,,,,
41,GUM,LOTZEN,41793,,,,,,,,,,,,,,,,,,,
42,GUM,SENSBURG,48758,,,,,,,,,,,,,,,,,,,
43,GUM,JOHANNISBURG,48747,,,,,,,,,,,,,,,,,,,
47,DAN,MARIENBURG,58552,,,,,,,,,,,,,,,,,,,
51,DAN,DANZIG NIEDERUNG,34024,,,,,,,,,,,,,,,,,,,
52,DAN,DANZIG HOHE,39763,,,,,,,,,,,,,,,,,,,
53,DAN,DIRSCHAU,36451,,,,,,,,,,,,,,,,,,,
54,DAN,PREUSSISCH STARGARD,49501,,,,,,,,,,,,,,,,,,,
55,DAN,BERENT,45947,,,,,,,,,,,,,,,,,,,
56,DAN,KARTHAUS,59694,,,,,,,,,,,,,,,,,,,
57,DAN,NEUSTADT,41660,,,,,,,,,,,,,,,,,,,
58,DAN,PUTZIG,24060,,,,,,,,,,,,,,,,,,,
59,MAR,STUHM,36085,,,,,,,,,,,,,,,,,,,
60,MAR,MARIENWERDER,63675,,,,,,,,,,,,,,,,,,,
61,MAR,ROSENBERG,49001,,,,,,,,,,,,,,,,,,,
62,MAR,LOBAU,52051,,,,,,,,,,,,,,,,,,,
63,MAR,STRASBURG,52900,,,,,,,,,,,,,,,,,,,
64,MAR,BRIESEN,39863,,,,,,,,,,,,,,,,,,,
65,MAR,THORN,87544,,,,,,,,,,,,,,,,,,,
68,MAR,KULM,45711,,,,,,,,,,,,,,,,,,,
69,MAR,GRAUDENZ,63250,,,,,,,,,,,,,,,,,,,
72,MAR,SCHWETZ,78487,,,,,,,,,,,,,,,,,,,
73,MAR,TUCHEL,27646,,,,,,,,,,,,,,,,,,,
74,MAR,KONITZ,52483,,,,,,,,,,,,,,,,,,,
75,MAR,SCHLOCHAU,64946,,,,,,,,,,,,,,,,,,,
76,MAR,FLATOW,65156,,,,,,,,,,,,,,,,,,,
77,MAR,DEUTSCH KRONE,65707,,,,,,,,,,,,,,,,,,,
79,POT,PRENZLAU,56065,,,,,,,,,,,,,,,,,,,
80,POT,TEMPLIN,45236,,,,,,,,,,,,,,,,,,,
81,POT,ANGERMUNDE,64704,,,,,,,,,,,,,,,,,,,
83,POT,OBERBARNIM,84018,,,,,,,,,,,,,,,,,,,
85,POT,NIEDERBARNIM,188297,,,,,,,,,,,,,,,,,,,
91,POT,TELTOW,221960,,,,,,,,,,,,,,,,,,,
92,POT,BEESKOW-STORKOW,43561,,,,,,,,,,,,,,,,,,,
