# Galloway 1994 GMFR replication, census year 1895
# Source: PS Heft 148:1
# Note: Direct cell: Married Female 15-49.
# Primary cell: mwf_15_49_direct = Married Female 15-49 (or 15_49 where noted), as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1895_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
1,KON,MEMEL,58809,,,,,,,,,,,,,,,,,,,
2,KON,FISCHHAUSEN,53356,,,,,,,,,,,,,,,,,,,
6,KON,LABIAU,52437,,,,,,,,,,,,,,,,,,,
7,KON,WEHLAU,48232,,,,,,,,,,,,,,,,,,,
8,KON,GERDAUEN,35286,,,,,,,,,,,,,,,,,,,
9,KON,RASTENBURG,44873,,,,,,,,,,,,,,,,,,,
10,KON,FRIEDLAND,42616,,,,,,,,,,,,,,,,,,,
11,KON,PREUSSISCH EYLAU,52858,,,,,,,,,,,,,,,,,,,
12,KON,HEILIGENBEIL,45401,,,,,,,,,,,,,,,,,,,
13,KON,BRAUNSBERG,53510,,,,,,,,,,,,,,,,,,,
14,KON,HEILSBERG,53587,,,,,,,,,,,,,,,,,,,
15,KON,ROSSEL,50642,,,,,,,,,,,,,,,,,,,
16,KON,ALLENSTEIN,81797,,,,,,,,,,,,,,,,,,,
19,KON,ORTELSBURG,73564,,,,,,,,,,,,,,,,,,,
20,KON,NEIDENBURG,57941,,,,,,,,,,,,,,,,,,,
21,KON,OSTERODE,72961,,,,,,,,,,,,,,,,,,,
22,KON,MOHRUNGEN,55007,,,,,,,,,,,,,,,,,,,
23,KON,PREUSSISCH HOLLAND,41846,,,,,,,,,,,,,,,,,,,
24,GUM,HEYDEKRUG,42554,,,,,,,,,,,,,,,,,,,
