# Galloway 1994 GMFR replication, census year 1900
# Source: PS Heft 177:2 (likely Zweiter Theil)
# Note: Direct cell: Married Female 15-49. Verify part numbering on HathiTrust.
# Primary cell: mwf_15_49_direct = Married Female 15-49,
#               as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1900_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
1,KON,MEMEL,59797,,,,,,,,,,,,,,,,,,,
2,KON,FISCHHAUSEN,53063,,,,,,,,,,,,,,,,,,,
6,KON,LABIAU,51194,,,,,,,,,,,,,,,,,,,
7,KON,WEHLAU,46348,,,,,,,,,,,,,,,,,,,
8,KON,GERDAUEN,33090,,,,,,,,,,,,,,,,,,,
9,KON,RASTENBURG,46142,,,,,,,,,,,,,,,,,,,
10,KON,FRIEDLAND,40908,,,,,,,,,,,,,,,,,,,
11,KON,PREUSSISCH EYLAU,50607,,,,,,,,,,,,,,,,,,,
12,KON,HEILIGENBEIL,44366,,,,,,,,,,,,,,,,,,,
13,KON,BRAUNSBERG,53978,,,,,,,,,,,,,,,,,,,
14,KON,HEILSBERG,51629,,,,,,,,,,,,,,,,,,,
15,KON,ROSSEL,50300,,,,,,,,,,,,,,,,,,,
16,KON,ALLENSTEIN,82486,,,,,,,,,,,,,,,,,,,
19,KON,ORTELSBURG,68352,,,,,,,,,,,,,,,,,,,
20,KON,NEIDENBURG,55293,,,,,,,,,,,,,,,,,,,
21,KON,OSTERODE,71856,,,,,,,,,,,,,,,,,,,
22,KON,MOHRUNGEN,53392,,,,,,,,,,,,,,,,,,,
23,KON,PREUSSISCH HOLLAND,39990,,,,,,,,,,,,,,,,,,,
24,GUM,HEYDEKRUG,42825,,,,,,,,,,,,,,,,,,,
25,GUM,NIEDERUNG,55342,,,,,,,,,,,,,,,,,,,
29,GUM,RAGNIT,54123,,,,,,,,,,,,,,,,,,,
30,GUM,PILLKALLEN,46566,,,,,,,,,,,,,,,,,,,
31,GUM,STALLUPONEN,44336,,,,,,,,,,,,,,,,,,,
32,GUM,GUMBINNEN,50781,,,,,,,,,,,,,,,,,,,
33,GUM,INSTERBURG,74577,,,,,,,,,,,,,,,,,,,
36,GUM,DARKEHMEN,32782,,,,,,,,,,,,,,,,,,,
37,GUM,ANGERBURG,34843,,,,,,,,,,,,,,,,,,,
38,GUM,GOLDAP,44813,,,,,,,,,,,,,,,,,,,
39,GUM,OLETZKO,38430,,,,,,,,,,,,,,,,,,,
40,GUM,LYCK,54222,,,,,,,,,,,,,,,,,,,
41,GUM,LOTZEN,40452,,,,,,,,,,,,,,,,,,,
42,GUM,SENSBURG,48403,,,,,,,,,,,,,,,,,,,
43,GUM,JOHANNISBURG,48262,,,,,,,,,,,,,,,,,,,
51,DAN,DANZIG NIEDERUNG,36135,,,,,,,,,,,,,,,,,,,
52,DAN,DANZIG HOHE,53119,,,,,,,,,,,,,,,,,,,
53,DAN,DIRSCHAU,38693,,,,,,,,,,,,,,,,,,,
54,DAN,PREUSSISCH STARGARD,58188,,,,,,,,,,,,,,,,,,,
55,DAN,BERENT,49821,,,,,,,,,,,,,,,,,,,
56,DAN,KARTHAUS,62994,,,,,,,,,,,,,,,,,,,
57,DAN,NEUSTADT,49043,,,,,,,,,,,,,,,,,,,
58,DAN,PUTZIG,25216,,,,,,,,,,,,,,,,,,,
59,MAR,STUHM,36381,,,,,,,,,,,,,,,,,,,
60,MAR,MARIENWERDER,66773,,,,,,,,,,,,,,,,,,,
61,MAR,ROSENBERG,52001,,,,,,,,,,,,,,,,,,,
62,MAR,LOBAU,54847,,,,,,,,,,,,,,,,,,,
63,MAR,STRASBURG,57312,,,,,,,,,,,,,,,,,,,
64,MAR,BRIESEN,43153,,,,,,,,,,,,,,,,,,,
68,MAR,KULM,48014,,,,,,,,,,,,,,,,,,,
72,MAR,SCHWETZ,82815,,,,,,,,,,,,,,,,,,,
73,MAR,TUCHEL,29282,,,,,,,,,,,,,,,,,,,
74,MAR,KONITZ,57952,,,,,,,,,,,,,,,,,,,
75,MAR,SCHLOCHAU,66077,,,,,,,,,,,,,,,,,,,
76,MAR,FLATOW,65752,,,,,,,,,,,,,,,,,,,
77,MAR,DEUTSCH KRONE,64209,,,,,,,,,,,,,,,,,,,
78,BER,BERLIN,1888848,,,,,,,,,,,,,,,,,,,
79,POT,PRENZLAU,59340,,,,,,,,,,,,,,,,,,,
80,POT,TEMPLIN,47152,,,,,,,,,,,,,,,,,,,
81,POT,ANGERMUNDE,64556,,,,,,,,,,,,,,,,,,,
83,POT,OBERBARNIM,92180,,,,,,,,,,,,,,,,,,,
85,POT,NIEDERBARNIM,293025,,,,,,,,,,,,,,,,,,,
91,POT,TELTOW,268187,,,,,,,,,,,,,,,,,,,
92,POT,BEESKOW-STORKOW,44594,,,,,,,,,,,,,,,,,,,
93,POT,JUTERBOG-LUCKENWALDE,71198,,,,,,,,,,,,,,,,,,,
94,POT,ZAUCH-BELZIG,80651,,,,,,,,,,,,,,,,,,,
97,POT,OSTHAVELLAND,73071,,,,,,,,,,,,,,,,,,,
99,POT,WESTHAVELLAND,63640,,,,,,,,,,,,,,,,,,,
100,POT,RUPPIN,77758,,,,,,,,,,,,,,,,,,,
101,POT,OSTPRIGNITZ,67362,,,,,,,,,,,,,,,,,,,
102,POT,WESTPRIGNITZ,76789,,,,,,,,,,,,,,,,,,,
103,FRA,KONIGSBERG,95236,,,,,,,,,,,,,,,,,,,
104,FRA,SOLDIN,47075,,,,,,,,,,,,,,,,,,,
105,FRA,ARNSWALDE,42306,,,,,,,,,,,,,,,,,,,
106,FRA,FRIEDEBERG,55093,,,,,,,,,,,,,,,,,,,
110,FRA,LEBUS,91421,,,,,,,,,,,,,,,,,,,
112,FRA,WESTSTERNBERG,44028,,,,,,,,,,,,,,,,,,,
113,FRA,OSTSTERNBERG,47910,,,,,,,,,,,,,,,,,,,
114,FRA,ZULLICHAU-SCHWIEBUS,48728,,,,,,,,,,,,,,,,,,,
115,FRA,KROSSEN,59407,,,,,,,,,,,,,,,,,,,
