# Galloway 1994 GMFR replication, census year 1910
# Source: PS Heft 234:2 (likely Zweiter Theil)
# Note: Direct cell: Married Female 15-44 (1-yr truncation).
# Primary cell: mwf_15_49_direct = Married Female 15-49,
#               as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1910_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
1,KON,MEMEL,61972,,,,,,,,,,,,,,,,,,,
2,KON,FISCHHAUSEN,52464,,,,,,,,,,,,,,,,,,,
6,KON,LABIAU,51057,,,,,,,,,,,,,,,,,,,
7,KON,WEHLAU,47179,,,,,,,,,,,,,,,,,,,
8,KON,GERDAUEN,33947,,,,,,,,,,,,,,,,,,,
9,KON,RASTENBURG,47197,,,,,,,,,,,,,,,,,,,
10,KON,FRIEDLAND,41556,,,,,,,,,,,,,,,,,,,
11,KON,PREUSSISCH EYLAU,48746,,,,,,,,,,,,,,,,,,,
12,KON,HEILIGENBEIL,43282,,,,,,,,,,,,,,,,,,,
13,KON,BRAUNSBERG,54613,,,,,,,,,,,,,,,,,,,
14,KON,HEILSBERG,51912,,,,,,,,,,,,,,,,,,,
22,KON,MOHRUNGEN,51396,,,,,,,,,,,,,,,,,,,
23,KON,PREUSSISCH HOLLAND,37750,,,,,,,,,,,,,,,,,,,
24,GUM,HEYDEKRUG,43309,,,,,,,,,,,,,,,,,,,
25,GUM,NIEDERUNG,54417,,,,,,,,,,,,,,,,,,,
29,GUM,RAGNIT,55338,,,,,,,,,,,,,,,,,,,
30,GUM,PILLKALLEN,45560,,,,,,,,,,,,,,,,,,,
31,GUM,STALLUPONEN,43453,,,,,,,,,,,,,,,,,,,
32,GUM,GUMBINNEN,51235,,,,,,,,,,,,,,,,,,,
36,GUM,DARKEHMEN,31485,,,,,,,,,,,,,,,,,,,
37,GUM,ANGERBURG,35635,,,,,,,,,,,,,,,,,,,
38,GUM,GOLDAP,44186,,,,,,,,,,,,,,,,,,,
39,GUM,OLETZKO,38850,,,,,,,,,,,,,,,,,,,
40,GUM,LYCK,55579,,,,,,,,,,,,,,,,,,,
41,GUM,LOTZEN,41209,,,,,,,,,,,,,,,,,,,
43,GUM,JOHANNISBURG,51399,,,,,,,,,,,,,,,,,,,
42,GUM,SENSBURG,50097,,,,,,,,,,,,,,,,,,,
19,KON,ORTELSBURG,69635,,,,,,,,,,,,,,,,,,,
15,KON,ROSSEL,50472,,,,,,,,,,,,,,,,,,,
20,KON,NEIDENBURG,59416,,,,,,,,,,,,,,,,,,,
21,KON,OSTERODE,74666,,,,,,,,,,,,,,,,,,,
47,DAN,MARIENBURG,62999,,,,,,,,,,,,,,,,,,,
51,DAN,DANZIG NIEDERUNG,36345,,,,,,,,,,,,,,,,,,,
